Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-0.2/ 1.1/ -0.8), (-0.6/ 1.1/ -0.5), (-0.3/ 0.1/ -0.7), (-0.1/ 0.1/ -0.6), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.4146
Sad,(-0.2/ 1.2/ -0.9), (-0.5/ 1.1/ -0.3), (-0.3/ 0.1/ -0.7), (-0.1/ 0.1/ -0.6), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.07864
Sad,(-0.3/ 1.0/ -0.7), (-0.4/ 1.1/ -0.3), (-0.3/ 0.1/ -0.7), (-0.1/ 0.1/ -0.6), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.61133
Sad,(-0.4/ 1.1/ -0.7), (-0.4/ 1.1/ -0.3), (-0.2/ 0.1/ -0.6), (-0.2/ 0.1/ -0.6), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.11213
Sad,(-0.3/ 1.3/ -0.7), (-0.5/ 1.1/ -0.4), (-0.2/ 0.1/ -0.6), (-0.2/ 0.1/ -0.6), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.54349
Sad,(-0.3/ 1.3/ -0.7), (-0.6/ 1.1/ -0.4), (-0.2/ 0.1/ -0.6), (-0.2/ 0.1/ -0.6), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.43794
Sad,(-0.3/ 1.3/ -0.7), (-0.6/ 1.1/ -0.4), (-0.3/ 0.1/ -0.6), (-0.1/ 0.1/ -0.6), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.57008
Sad,(-0.3/ 1.3/ -0.7), (-0.6/ 1.1/ -0.5), (-0.3/ 0.1/ -0.6), (-0.1/ 0.1/ -0.6), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.60844
Sad,(-0.2/ 1.2/ -0.9), (-0.6/ 1.1/ -0.4), (-0.3/ 0.1/ -0.6), (-0.1/ 0.1/ -0.6), (-0.2/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.64836
Sad,(-0.3/ 1.1/ -0.7), (-0.6/ 1.1/ -0.4), (-0.3/ 0.1/ -0.6), (-0.1/ 0.1/ -0.6), (-0.2/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.72784
