Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-1.0/ 1.1/ -0.9), (-1.3/ 1.1/ -0.4), (-0.8/ 0.1/ -0.7), (-0.7/ 0.1/ -0.7), (-0.9/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.58264
Sad,(-1.0/ 1.1/ -0.9), (-1.2/ 1.1/ -0.4), (-0.8/ 0.1/ -0.7), (-0.7/ 0.1/ -0.7), (-0.8/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.76278
Sad,(-1.0/ 1.1/ -0.9), (-1.2/ 1.1/ -0.5), (-0.8/ 0.1/ -0.7), (-0.7/ 0.1/ -0.7), (-0.8/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.04853
Sad,(-0.9/ 1.1/ -1.0), (-1.2/ 1.1/ -0.6), (-0.8/ 0.1/ -0.7), (-0.7/ 0.1/ -0.7), (-0.8/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.01385
Sad,(-0.9/ 1.1/ -1.0), (-1.2/ 1.1/ -0.6), (-0.8/ 0.1/ -0.7), (-0.7/ 0.1/ -0.7), (-0.8/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.50233
Sad,(-1.0/ 1.1/ -1.0), (-1.2/ 1.1/ -0.5), (-0.8/ 0.1/ -0.7), (-0.7/ 0.1/ -0.7), (-0.8/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.48125
Sad,(-1.0/ 1.1/ -0.9), (-1.2/ 1.1/ -0.4), (-0.8/ 0.1/ -0.7), (-0.7/ 0.1/ -0.7), (-0.8/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.29407
Sad,(-1.0/ 1.1/ -0.9), (-1.2/ 1.1/ -0.4), (-0.8/ 0.1/ -0.7), (-0.7/ 0.1/ -0.7), (-0.8/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.20633
Sad,(-1.0/ 1.1/ -0.8), (-1.2/ 1.1/ -0.3), (-0.8/ 0.1/ -0.7), (-0.7/ 0.1/ -0.7), (-0.8/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.34444
Sad,(-1.0/ 1.1/ -0.8), (-1.2/ 1.1/ -0.3), (-0.8/ 0.1/ -0.7), (-0.7/ 0.1/ -0.6), (-0.9/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.42088
