Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-1.0/ 1.1/ -1.8), (-1.8/ 1.1/ -1.8), (-1.3/ 0.1/ -1.6), (-1.3/ 0.1/ -1.8), (-1.4/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,111.8656
Sad,(-1.1/ 1.3/ -2.1), (-1.8/ 1.3/ -1.9), (-1.3/ 0.1/ -1.6), (-1.3/ 0.1/ -1.8), (-1.4/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,119.0589
Sad,(-1.3/ 1.4/ -2.2), (-1.7/ 1.3/ -2.0), (-1.3/ 0.1/ -1.6), (-1.4/ 0.1/ -1.9), (-1.4/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,125.9074
Sad,(-1.4/ 1.4/ -2.2), (-1.8/ 1.4/ -2.0), (-1.4/ 0.1/ -1.8), (-1.4/ 0.1/ -1.9), (-1.4/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,131.7751
Sad,(-1.6/ 1.4/ -2.2), (-1.9/ 1.4/ -2.1), (-1.4/ 0.1/ -1.8), (-1.4/ 0.1/ -1.9), (-1.5/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,134.7526
Sad,(-1.5/ 1.4/ -2.2), (-1.9/ 1.4/ -2.1), (-1.4/ 0.1/ -1.8), (-1.4/ 0.1/ -1.9), (-1.6/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,135.7642
Sad,(-1.2/ 1.3/ -2.1), (-1.9/ 1.3/ -2.2), (-1.4/ 0.1/ -1.8), (-1.4/ 0.1/ -1.9), (-1.6/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,131.3933
Sad,(-1.5/ 1.2/ -2.3), (-2.1/ 1.2/ -1.8), (-1.4/ 0.1/ -1.8), (-1.4/ 0.1/ -1.9), (-1.6/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,134.2689
Sad,(-1.7/ 1.1/ -2.2), (-1.9/ 1.1/ -1.5), (-1.4/ 0.1/ -1.8), (-1.5/ 0.1/ -1.9), (-1.6/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,130.6214
Sad,(-2.0/ 1.1/ -2.2), (-1.9/ 1.1/ -1.4), (-1.4/ 0.1/ -1.8), (-1.6/ 0.1/ -1.9), (-1.6/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,132.7673
Sad,(-2.0/ 1.1/ -2.1), (-1.7/ 1.0/ -1.4), (-1.4/ 0.1/ -1.8), (-1.6/ 0.1/ -1.9), (-1.6/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,130.6507
