Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Disgusted,(0.6/ 1.1/ 0.6), (0.8/ 1.0/ 0.4), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.7), (0.7/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,63.0922
Disgusted,(0.7/ 1.2/ 0.6), (0.8/ 1.0/ 0.5), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.7), (0.7/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,64.07874
Disgusted,(0.6/ 1.1/ 0.6), (0.8/ 1.0/ 0.5), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.7), (0.7/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,64.4188
Disgusted,(0.7/ 1.1/ 0.6), (0.8/ 1.0/ 0.5), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.7), (0.7/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,64.87292
Disgusted,(0.6/ 1.1/ 0.6), (0.8/ 1.0/ 0.6), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.7), (0.7/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,65.16071
Disgusted,(0.6/ 1.2/ 0.7), (0.8/ 1.0/ 0.6), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.7), (0.7/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,66.26128
Disgusted,(0.6/ 1.2/ 0.6), (0.8/ 1.0/ 0.6), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.7), (0.7/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,66.22063
Disgusted,(0.7/ 1.2/ 0.6), (0.8/ 1.0/ 0.6), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.7), (0.7/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,66.51405
Disgusted,(0.7/ 1.2/ 0.6), (0.8/ 1.0/ 0.6), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.7), (0.7/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,65.73842
Disgusted,(0.7/ 1.1/ 0.6), (0.8/ 1.0/ 0.5), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.8), (0.7/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,65.13281
Disgusted,(0.7/ 1.2/ 0.6), (0.8/ 1.0/ 0.5), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.8), (0.7/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,65.48589
Disgusted,(0.7/ 1.1/ 0.6), (0.8/ 1.0/ 0.5), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.8), (0.7/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,65.95969
Disgusted,(0.7/ 1.1/ 0.6), (0.8/ 1.0/ 0.5), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.8), (0.8/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,66.10796
