Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-0.4/ 1.1/ -0.9), (-0.8/ 1.2/ -0.3), (-0.4/ 0.1/ -0.5), (-0.3/ 0.1/ -0.5), (-0.4/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.93382
Sad,(-0.4/ 1.1/ -0.8), (-0.8/ 1.2/ -0.3), (-0.4/ 0.1/ -0.5), (-0.3/ 0.1/ -0.5), (-0.4/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.73233
Sad,(-0.4/ 1.1/ -0.8), (-0.8/ 1.2/ -0.2), (-0.4/ 0.1/ -0.6), (-0.3/ 0.1/ -0.5), (-0.5/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.96327
Sad,(-0.4/ 1.1/ -0.8), (-0.8/ 1.2/ -0.2), (-0.4/ 0.1/ -0.6), (-0.3/ 0.1/ -0.5), (-0.4/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.88655
Sad,(-0.4/ 1.1/ -0.8), (-0.8/ 1.2/ -0.2), (-0.4/ 0.1/ -0.6), (-0.3/ 0.1/ -0.5), (-0.5/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.86387
Sad,(-0.4/ 1.1/ -0.8), (-0.8/ 1.2/ -0.2), (-0.4/ 0.1/ -0.6), (-0.3/ 0.1/ -0.5), (-0.5/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.89215
Sad,(-0.4/ 1.1/ -0.8), (-0.8/ 1.1/ -0.2), (-0.4/ 0.1/ -0.6), (-0.3/ 0.1/ -0.5), (-0.5/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.36352
Sad,(-0.4/ 1.1/ -1.0), (-0.8/ 1.1/ -0.4), (-0.5/ 0.1/ -0.8), (-0.3/ 0.1/ -0.5), (-0.4/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.0675
Sad,(-0.4/ 1.1/ -1.2), (-0.8/ 1.2/ -0.6), (-0.5/ 0.1/ -0.9), (-0.3/ 0.2/ -0.8), (-0.4/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.51651
Sad,(-0.4/ 1.1/ -1.3), (-0.8/ 1.1/ -0.7), (-0.5/ 0.1/ -0.9), (-0.5/ 0.1/ -1.2), (-0.5/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,47.62553
Sad,(-0.6/ 1.1/ -1.5), (-0.9/ 1.1/ -0.8), (-0.6/ 0.1/ -1.2), (-0.5/ 0.1/ -1.2), (-0.7/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,55.55794
Sad,(-0.9/ 1.1/ -1.6), (-1.0/ 1.1/ -0.9), (-1.1/ 0.1/ -1.4), (-0.5/ 0.1/ -1.2), (-0.8/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,66.59602
Sad,(-1.2/ 1.1/ -1.7), (-1.2/ 1.1/ -1.0), (-1.1/ 0.1/ -1.4), (-1.1/ 0.1/ -1.5), (-1.1/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,84.88268
Sad,(-1.4/ 1.1/ -1.8), (-1.5/ 1.1/ -1.1), (-1.2/ 0.2/ -1.4), (-1.4/ 0.1/ -1.6), (-1.3/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,97.88435
Sad,(-1.7/ 1.1/ -1.8), (-1.7/ 1.1/ -1.1), (-1.9/ 0.1/ -1.6), (-1.4/ 0.1/ -1.6), (-1.6/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,116.8224
Sad,(-2.0/ 1.1/ -1.9), (-1.9/ 1.1/ -1.2), (-2.0/ 0.1/ -1.5), (-1.5/ 0.2/ -1.6), (-1.8/ 1.5/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,128.5081
Sad,(-2.0/ 1.0/ -1.8), (-2.1/ 1.1/ -1.1), (-2.0/ 0.1/ -1.5), (-1.9/ 0.1/ -1.4), (-1.9/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,133.4146
Sad,(-2.0/ 1.1/ -1.7), (-2.2/ 1.1/ -1.0), (-2.0/ 0.1/ -1.5), (-1.9/ 0.1/ -1.4), (-2.0/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,132.8766
