Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-2.5/ 1.1/ -0.5), (-2.6/ 1.1/ 0.1), (-2.3/ 0.1/ -0.3), (-2.4/ 0.1/ -0.4), (-2.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,150.2199
Sad,(-2.5/ 1.1/ -0.5), (-2.6/ 1.1/ 0.1), (-2.3/ 0.1/ -0.3), (-2.4/ 0.1/ -0.4), (-2.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,149.4686
Sad,(-2.5/ 1.1/ -0.5), (-2.7/ 1.1/ 0.0), (-2.3/ 0.1/ -0.3), (-2.4/ 0.1/ -0.4), (-2.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,150.8004
Sad,(-2.4/ 1.1/ -0.5), (-2.8/ 1.1/ -0.1), (-2.3/ 0.1/ -0.3), (-2.4/ 0.1/ -0.4), (-2.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,151.479
Sad,(-2.4/ 1.1/ -0.6), (-2.7/ 1.1/ -0.1), (-2.3/ 0.1/ -0.3), (-2.4/ 0.1/ -0.4), (-2.5/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,150.0452
Sad,(-2.4/ 1.1/ -0.5), (-2.6/ 1.1/ 0.0), (-2.3/ 0.1/ -0.3), (-2.4/ 0.1/ -0.4), (-2.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,148.1949
Sad,(-2.4/ 1.0/ -0.5), (-2.4/ 1.1/ 0.0), (-2.3/ 0.1/ -0.3), (-2.4/ 0.1/ -0.4), (-2.3/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,143.9422
Sad,(-2.4/ 1.0/ -0.5), (-2.3/ 1.1/ 0.0), (-2.2/ 0.1/ -0.3), (-2.4/ 0.1/ -0.4), (-2.3/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,140.2731
Sad,(-2.4/ 1.0/ -0.5), (-2.3/ 1.1/ 0.0), (-2.2/ 0.1/ -0.3), (-2.4/ 0.1/ -0.4), (-2.3/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,139.8984
Sad,(-2.4/ 1.0/ -0.4), (-2.3/ 1.1/ 0.1), (-2.1/ 0.1/ -0.3), (-2.4/ 0.1/ -0.4), (-2.3/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,139.9028
Sad,(-2.4/ 1.0/ -0.4), (-2.2/ 1.1/ 0.1), (-2.1/ 0.1/ -0.3), (-2.4/ 0.1/ -0.4), (-2.3/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,138.6086
Sad,(-2.4/ 1.0/ -0.5), (-2.3/ 1.1/ 0.0), (-2.1/ 0.1/ -0.3), (-2.4/ 0.1/ -0.4), (-2.3/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,139.6698
Sad,(-2.4/ 1.0/ -0.5), (-2.5/ 1.1/ 0.0), (-2.4/ 0.1/ -0.3), (-2.4/ 0.1/ -0.4), (-2.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,146.4396
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-2.5/ 1.1/ -0.5), (-2.6/ 1.3/ -0.4), (-2.5/ 0.1/ -0.1), (-2.4/ 0.1/ -0.4), (-2.5/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,151.1076
Sad,(-2.5/ 1.1/ -0.5), (-2.5/ 1.1/ -0.3), (-2.5/ 0.1/ -0.1), (-2.4/ 0.1/ -0.4), (-2.5/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,150.0636
Sad,(-2.3/ 1.1/ -0.5), (-2.5/ 1.1/ -0.2), (-2.5/ 0.1/ -0.1), (-2.4/ 0.1/ -0.4), (-2.5/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,146.4372
Sad,(-2.2/ 1.1/ -0.2), (-2.5/ 1.0/ -0.2), (-2.5/ 0.1/ -0.1), (-2.4/ 0.1/ -0.4), (-2.5/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,146.6424
Sad,(-2.3/ 1.0/ -0.3), (-2.5/ 1.0/ -0.2), (-2.5/ 0.1/ -0.1), (-2.4/ 0.1/ -0.4), (-2.5/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,148.4894
Sad,(-2.4/ 1.0/ -0.4), (-2.5/ 1.0/ -0.2), (-2.5/ 0.1/ -0.1), (-2.4/ 0.1/ -0.4), (-2.5/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,150.1815
Sad,(-2.5/ 1.0/ -0.4), (-2.5/ 1.0/ -0.2), (-2.5/ 0.1/ -0.1), (-2.4/ 0.1/ -0.4), (-2.5/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,150.172
Sad,(-2.2/ 1.1/ -0.3), (-2.5/ 1.1/ -0.2), (-2.5/ 0.1/ -0.1), (-2.4/ 0.1/ -0.4), (-2.5/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,146.9849
Sad,(-2.2/ 1.0/ -0.1), (-2.6/ 1.1/ -0.2), (-2.6/ 0.1/ -0.1), (-2.4/ 0.1/ -0.4), (-2.5/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,148.8959
Sad,(-2.3/ 1.0/ -0.2), (-2.6/ 1.1/ -0.2), (-2.6/ 0.1/ -0.1), (-2.4/ 0.1/ -0.4), (-2.5/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,150.4495
Sad,(-2.4/ 1.0/ -0.3), (-2.6/ 1.1/ -0.2), (-2.6/ 0.1/ -0.1), (-2.4/ 0.1/ -0.4), (-2.5/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,150.9731
Sad,(-2.5/ 1.0/ -0.4), (-2.6/ 1.0/ -0.2), (-2.6/ 0.1/ -0.1), (-2.4/ 0.1/ -0.3), (-2.6/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,152.7856
Sad,(-2.5/ 1.0/ -0.4), (-2.5/ 1.0/ -0.2), (-2.6/ 0.1/ -0.1), (-2.4/ 0.1/ -0.3), (-2.5/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,151.6083
Sad,(-2.5/ 1.0/ -0.4), (-2.5/ 1.1/ -0.2), (-2.6/ 0.1/ -0.1), (-2.4/ 0.1/ -0.3), (-2.5/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,151.243
Sad,(-2.6/ 1.0/ -0.3), (-2.6/ 1.1/ -0.2), (-2.6/ 0.1/ -0.1), (-2.4/ 0.1/ -0.3), (-2.6/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,156.5433
Sad,(-2.7/ 1.0/ -0.3), (-2.7/ 1.0/ -0.2), (-2.6/ 0.1/ -0.1), (-2.4/ 0.1/ -0.2), (-2.7/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,159.7523
Sad,(-2.6/ 1.0/ -0.3), (-2.6/ 1.1/ -0.2), (-2.6/ 0.1/ -0.1), (-2.5/ 0.1/ -0.2), (-2.6/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,158.1128
Sad,(-2.7/ 1.0/ -0.3), (-2.7/ 1.0/ -0.2), (-2.6/ 0.1/ -0.1), (-2.5/ 0.1/ -0.3), (-2.7/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,161.0037
Sad,(-2.7/ 1.0/ -0.4), (-2.7/ 1.0/ -0.3), (-2.6/ 0.1/ -0.1), (-2.7/ 0.1/ -0.3), (-2.7/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,163.7805
Sad,(-2.5/ 1.0/ -0.3), (-2.7/ 1.1/ -0.3), (-2.7/ 0.1/ -0.1), (-2.6/ 0.1/ -0.3), (-2.7/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,161.3102
Sad,(-2.4/ 1.0/ -0.2), (-2.5/ 1.2/ -0.2), (-2.7/ 0.1/ -0.1), (-2.4/ 0.1/ 0.0), (-2.5/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,151.9995
Sad,(-2.2/ 1.0/ -0.1), (-2.3/ 1.2/ -0.1), (-2.3/ 0.1/ -0.1), (-2.4/ 0.1/ 0.0), (-2.3/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,140.0413
Sad,(-2.1/ 1.0/ -0.2), (-2.2/ 1.2/ -0.3), (-2.3/ 0.1/ -0.1), (-2.3/ 0.2/ 0.0), (-2.3/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,133.8506
