Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-5.3/ 1.1/ -0.3), (-5.5/ 1.1/ 0.3), (-5.3/ 0.1/ 0.0), (-5.1/ 0.1/ 0.0), (-5.3/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,356.6668
Sad,(-5.2/ 1.2/ -0.3), (-5.5/ 1.1/ 0.4), (-5.3/ 0.1/ 0.1), (-5.1/ 0.1/ 0.0), (-5.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,356.0157
Sad,(-5.1/ 1.1/ -0.3), (-5.6/ 1.1/ 0.4), (-5.3/ 0.1/ 0.1), (-5.1/ 0.1/ 0.0), (-5.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,356.2258
Sad,(-5.0/ 0.9/ -0.2), (-5.6/ 1.0/ 0.2), (-5.4/ 0.1/ 0.0), (-5.1/ 0.1/ 0.0), (-5.3/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,355.8236
Sad,(-5.3/ 0.9/ -0.5), (-5.7/ 1.1/ 0.3), (-5.4/ 0.1/ 0.0), (-5.4/ 0.1/ -0.2), (-5.5/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,367.127
Sad,(-5.3/ 0.9/ -0.4), (-5.7/ 1.1/ 0.2), (-5.4/ 0.1/ 0.0), (-5.7/ 0.2/ -0.2), (-5.5/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,372.8341
Sad,(-5.3/ 0.9/ -0.4), (-5.9/ 1.0/ 0.3), (-5.4/ 0.1/ 0.0), (-5.7/ 0.1/ -0.2), (-5.6/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,377.2008
Sad,(-5.8/ 1.2/ -0.6), (-6.0/ 1.0/ 0.3), (-5.7/ 0.1/ 0.0), (-5.7/ 0.1/ -0.2), (-5.8/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,392.1346
Sad,(-6.1/ 1.4/ -0.4), (-5.9/ 1.0/ 0.3), (-5.7/ 0.1/ 0.0), (-5.7/ 0.1/ -0.2), (-5.8/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,396.0165
Sad,(-6.2/ 1.3/ -0.3), (-6.0/ 1.0/ 0.3), (-5.7/ 0.1/ 0.0), (-5.7/ 0.1/ -0.2), (-5.8/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,397.9947
Sad,(-6.1/ 1.3/ -0.5), (-6.0/ 0.9/ 0.3), (-5.7/ 0.1/ 0.0), (-5.7/ 0.1/ -0.2), (-5.8/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,397.2208
Sad,(-6.1/ 1.3/ -0.5), (-6.0/ 0.9/ 0.3), (-5.7/ 0.1/ 0.0), (-5.7/ 0.1/ -0.2), (-5.8/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,396.7598
Sad,(-6.1/ 1.3/ -0.4), (-5.9/ 0.9/ 0.3), (-5.7/ 0.1/ 0.0), (-5.7/ 0.1/ -0.2), (-5.8/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,396.448
Sad,(-6.1/ 1.4/ -0.4), (-6.0/ 0.9/ 0.3), (-5.7/ 0.1/ 0.0), (-5.7/ 0.1/ -0.2), (-5.8/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,397.4478
Sad,(-6.1/ 1.4/ -0.4), (-6.0/ 1.0/ 0.3), (-5.7/ 0.1/ 0.0), (-5.7/ 0.1/ -0.2), (-5.8/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,397.4229
Sad,(-6.2/ 1.4/ -0.4), (-6.0/ 1.0/ 0.3), (-5.7/ 0.1/ 0.0), (-5.7/ 0.1/ -0.2), (-5.8/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,397.4743
Sad,(-6.1/ 1.4/ -0.4), (-6.0/ 0.9/ 0.3), (-5.7/ 0.1/ 0.0), (-5.7/ 0.1/ -0.2), (-5.8/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,396.5738
Sad,(-6.2/ 1.4/ -0.3), (-5.9/ 0.9/ 0.3), (-5.7/ 0.1/ 0.0), (-5.7/ 0.1/ -0.2), (-5.8/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,397.1293
Sad,(-6.1/ 1.4/ -0.3), (-6.0/ 0.9/ 0.3), (-5.7/ 0.1/ 0.0), (-5.7/ 0.1/ -0.2), (-5.8/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,397.1956
Sad,(-6.1/ 1.4/ -0.3), (-6.0/ 0.9/ 0.3), (-5.7/ 0.1/ 0.0), (-5.7/ 0.1/ -0.2), (-5.8/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,397.3822
Sad,(-6.1/ 1.4/ -0.4), (-6.0/ 0.9/ 0.3), (-5.7/ 0.1/ 0.0), (-5.7/ 0.1/ -0.2), (-5.8/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,396.5753
Sad,(-6.2/ 1.4/ -0.4), (-5.9/ 0.9/ 0.3), (-5.7/ 0.1/ 0.0), (-5.7/ 0.1/ -0.2), (-5.8/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,397.5857
Sad,(-6.1/ 1.4/ -0.4), (-6.0/ 0.9/ 0.3), (-5.7/ 0.1/ 0.0), (-5.7/ 0.1/ -0.2), (-5.8/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,397.2764
Sad,(-6.2/ 1.5/ -0.3), (-6.0/ 0.9/ 0.3), (-5.7/ 0.1/ 0.0), (-5.7/ 0.1/ -0.2), (-5.8/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,398.0023
Sad,(-6.1/ 1.4/ -0.3), (-6.0/ 0.9/ 0.3), (-5.7/ 0.1/ 0.0), (-5.7/ 0.1/ -0.2), (-5.8/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,398.1409
Sad,(-5.8/ 1.2/ -0.5), (-6.1/ 0.9/ 0.2), (-5.7/ 0.1/ 0.0), (-5.7/ 0.1/ -0.2), (-5.8/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,393.1915
Sad,(-5.6/ 1.5/ -0.5), (-6.2/ 1.0/ -0.1), (-5.7/ 0.1/ -0.1), (-5.7/ 0.1/ -0.2), (-5.8/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,392.5308
Sad,(-5.6/ 1.5/ -0.7), (-6.1/ 1.0/ -0.1), (-5.7/ 0.1/ -0.1), (-5.7/ 0.1/ -0.2), (-5.7/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,389.825
Sad,(-5.5/ 1.1/ -0.7), (-6.0/ 1.0/ -0.2), (-5.7/ 0.1/ -0.1), (-5.7/ 0.1/ -0.2), (-5.7/ 1.4/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,386.1812
Sad,(-5.6/ 1.2/ -0.6), (-6.0/ 1.0/ -0.2), (-5.7/ 0.1/ -0.1), (-5.7/ 0.1/ -0.2), (-5.7/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,387.1223
Sad,(-5.6/ 1.2/ -0.6), (-6.0/ 1.0/ -0.2), (-5.7/ 0.1/ -0.1), (-5.7/ 0.1/ -0.2), (-5.7/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,387.1525
Sad,(-5.7/ 1.2/ -0.6), (-6.0/ 1.0/ -0.2), (-5.7/ 0.1/ -0.1), (-5.7/ 0.1/ -0.2), (-5.7/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,388.4827
Sad,(-5.7/ 1.2/ -0.6), (-6.0/ 1.0/ -0.1), (-5.7/ 0.1/ -0.1), (-5.7/ 0.1/ -0.2), (-5.7/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,388.7037
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-5.3/ 1.1/ -0.4), (-5.7/ 1.3/ 0.0), (-5.3/ 0.1/ 0.1), (-5.3/ 0.1/ 0.0), (-5.3/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,364.099
Sad,(-5.3/ 1.1/ -0.4), (-5.8/ 1.3/ 0.0), (-5.3/ 0.1/ 0.1), (-5.3/ 0.1/ 0.0), (-5.3/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,364.2841
Sad,(-5.2/ 1.1/ -0.4), (-5.7/ 1.1/ 0.2), (-5.3/ 0.1/ 0.1), (-5.3/ 0.1/ 0.0), (-5.3/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,362.9504
Sad,(-5.1/ 1.1/ -0.4), (-5.7/ 1.0/ 0.1), (-5.3/ 0.1/ 0.0), (-5.3/ 0.1/ 0.0), (-5.2/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,359.4504
Sad,(-5.1/ 1.0/ -0.4), (-5.7/ 1.0/ 0.1), (-5.3/ 0.1/ 0.0), (-5.3/ 0.1/ 0.0), (-5.2/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,357.7871
Sad,(-5.2/ 1.0/ -0.4), (-5.8/ 1.0/ 0.1), (-5.3/ 0.1/ 0.0), (-5.5/ 0.1/ -0.1), (-5.4/ 1.4/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,365.7991
Sad,(-5.5/ 1.1/ -0.4), (-5.9/ 1.0/ 0.3), (-5.6/ 0.1/ 0.1), (-5.5/ 0.1/ -0.1), (-5.6/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,378.9793
Sad,(-5.4/ 1.1/ -0.4), (-5.9/ 1.0/ 0.2), (-5.6/ 0.1/ 0.1), (-5.5/ 0.1/ -0.1), (-5.5/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,377.2743
Sad,(-5.2/ 1.2/ -0.3), (-6.1/ 1.0/ -0.1), (-5.7/ 0.1/ -0.1), (-5.5/ 0.1/ 0.0), (-5.6/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,377.5615
Sad,(-5.1/ 1.3/ -0.1), (-6.1/ 1.0/ -0.3), (-5.6/ 0.1/ -0.1), (-5.5/ 0.1/ 0.0), (-5.6/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,376.3624
