Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-1.9/ 1.0/ -0.5), (-1.7/ 1.1/ -0.4), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.5), (-1.8/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.2816
Sad,(-1.9/ 1.0/ -0.6), (-1.7/ 1.1/ -0.4), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.5), (-1.8/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.2482
Sad,(-1.9/ 1.0/ -0.6), (-1.7/ 1.1/ -0.4), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.5), (-1.8/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.6417
Sad,(-1.9/ 1.0/ -0.6), (-1.7/ 1.1/ -0.4), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.5), (-1.8/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,102.913
Sad,(-1.9/ 1.0/ -0.5), (-1.7/ 1.1/ -0.4), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.5), (-1.8/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.4834
Sad,(-1.9/ 1.0/ -0.5), (-1.8/ 1.1/ -0.4), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.5), (-1.9/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.786
Sad,(-2.1/ 1.0/ -0.5), (-1.9/ 1.1/ -0.3), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.5), (-2.0/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,113.4116
Sad,(-2.1/ 1.1/ -0.5), (-2.0/ 1.2/ -0.3), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.4), (-2.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,115.1327
Sad,(-2.1/ 1.0/ -0.4), (-2.0/ 1.1/ -0.2), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.4), (-2.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,115.9032
Sad,(-2.1/ 1.0/ -0.4), (-2.0/ 1.1/ -0.2), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.4), (-2.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,115.8701
Sad,(-2.1/ 1.0/ -0.4), (-2.0/ 1.1/ -0.2), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.4), (-2.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,115.8746
Sad,(-2.0/ 1.0/ -0.4), (-2.0/ 1.0/ -0.1), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.4), (-2.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,114.7117
Sad,(-1.9/ 1.0/ -0.6), (-1.9/ 1.0/ -0.3), (-2.0/ 0.1/ -0.6), (-1.9/ 0.1/ -0.4), (-1.9/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,109.7429
Sad,(-1.8/ 1.0/ -0.6), (-1.8/ 1.0/ -0.4), (-2.0/ 0.1/ -0.6), (-1.7/ 0.1/ -0.6), (-1.7/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,99.23729
Sad,(-1.6/ 1.0/ -0.7), (-1.7/ 1.0/ -0.5), (-2.0/ 0.1/ -0.6), (-1.4/ 0.1/ -0.7), (-1.6/ 1.4/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,91.81735
Sad,(-1.5/ 1.1/ -0.9), (-1.6/ 1.0/ -0.7), (-1.6/ 0.1/ -0.9), (-1.4/ 0.1/ -0.7), (-1.5/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.49322
Sad,(-1.4/ 1.0/ -1.0), (-1.4/ 1.0/ -0.7), (-1.4/ 0.1/ -1.0), (-1.4/ 0.1/ -0.7), (-1.4/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,76.46808
Sad,(-1.3/ 1.0/ -1.1), (-1.2/ 1.1/ -0.9), (-1.4/ 0.1/ -1.1), (-1.2/ 0.1/ -1.0), (-1.2/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,70.20702
Sad,(-1.2/ 1.0/ -1.2), (-1.2/ 1.0/ -1.0), (-1.4/ 0.1/ -1.1), (-1.0/ 0.1/ -1.3), (-1.2/ 1.4/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,71.4982
Sad,(-1.2/ 1.0/ -1.3), (-1.1/ 1.1/ -1.1), (-1.2/ 0.1/ -1.2), (-1.0/ 0.1/ -1.3), (-1.1/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,70.99466
Sad,(-1.0/ 1.0/ -1.2), (-0.9/ 1.1/ -1.1), (-1.1/ 0.1/ -1.1), (-1.0/ 0.1/ -1.3), (-1.0/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,63.58935
Sad,(-1.0/ 1.1/ -1.4), (-0.9/ 1.1/ -1.2), (-1.1/ 0.1/ -1.1), (-1.0/ 0.1/ -1.3), (-0.9/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,65.24773
Sad,(-1.0/ 1.1/ -1.4), (-0.9/ 1.1/ -1.2), (-1.1/ 0.1/ -1.1), (-1.0/ 0.1/ -1.3), (-0.9/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,64.88061
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-1.3/ 1.1/ -1.0), (-1.2/ 1.3/ -1.1), (-1.4/ 0.1/ -1.0), (-1.2/ 0.1/ -0.9), (-1.2/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,69.7261
Sad,(-1.3/ 1.1/ -1.0), (-1.1/ 1.2/ -1.0), (-1.4/ 0.1/ -1.1), (-1.2/ 0.1/ -0.9), (-1.2/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.81829
