Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-1.7/ 1.5/ -0.4), (-1.5/ 1.2/ 0.1), (-1.4/ 0.2/ -0.3), (-1.5/ 0.2/ -0.4), (-1.5/ 1.6/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.00651
Sad,(-1.6/ 1.5/ -0.5), (-1.5/ 1.1/ 0.1), (-1.4/ 0.2/ -0.3), (-1.5/ 0.2/ -0.4), (-1.5/ 1.6/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.36081
Sad,(-1.6/ 1.5/ -0.4), (-1.5/ 1.1/ 0.1), (-1.4/ 0.2/ -0.3), (-1.5/ 0.2/ -0.4), (-1.5/ 1.6/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.55527
Sad,(-1.6/ 1.5/ -0.5), (-1.6/ 1.2/ 0.1), (-1.4/ 0.2/ -0.3), (-1.5/ 0.2/ -0.4), (-1.5/ 1.6/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.73032
Sad,(-1.6/ 1.5/ -0.4), (-1.5/ 1.2/ 0.1), (-1.4/ 0.2/ -0.3), (-1.5/ 0.2/ -0.4), (-1.5/ 1.6/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.68603
Sad,(-1.6/ 1.5/ -0.4), (-1.4/ 1.1/ 0.1), (-1.4/ 0.2/ -0.3), (-1.5/ 0.2/ -0.4), (-1.5/ 1.6/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.4875
Sad,(-1.6/ 1.5/ -0.4), (-1.5/ 1.1/ 0.1), (-1.5/ 0.2/ -0.3), (-1.5/ 0.2/ -0.4), (-1.5/ 1.6/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,84.1945
Sad,(-1.6/ 1.5/ -0.6), (-1.9/ 1.1/ -0.1), (-1.6/ 0.2/ -0.5), (-1.5/ 0.2/ -0.5), (-1.6/ 1.6/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,89.80743
Sad,(-1.5/ 1.5/ -0.8), (-2.0/ 1.2/ -0.4), (-1.6/ 0.2/ -0.7), (-1.5/ 0.2/ -0.5), (-1.6/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,88.33351
Sad,(-1.5/ 1.4/ -0.9), (-1.9/ 1.1/ -0.5), (-1.6/ 0.1/ -0.7), (-1.5/ 0.1/ -0.6), (-1.5/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,87.28326
Sad,(-1.5/ 1.4/ -1.0), (-1.9/ 1.0/ -0.6), (-1.6/ 0.1/ -0.7), (-1.5/ 0.2/ -1.0), (-1.5/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,89.60764
Sad,(-1.5/ 1.4/ -1.2), (-2.0/ 1.1/ -0.9), (-1.6/ 0.2/ -0.8), (-1.5/ 0.2/ -1.0), (-1.6/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.83379
Sad,(-1.5/ 1.5/ -1.3), (-2.0/ 1.1/ -1.0), (-1.5/ 0.2/ -1.4), (-1.5/ 0.2/ -1.0), (-1.6/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,99.00202
Sad,(-1.5/ 1.4/ -1.5), (-1.9/ 1.0/ -1.2), (-1.5/ 0.1/ -1.5), (-1.5/ 0.2/ -1.1), (-1.5/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,101.8428
Sad,(-1.4/ 1.4/ -1.7), (-1.8/ 1.0/ -1.3), (-1.5/ 0.1/ -1.5), (-1.4/ 0.2/ -1.6), (-1.4/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.0294
Sad,(-1.4/ 1.4/ -1.8), (-1.8/ 1.0/ -1.5), (-1.5/ 0.1/ -1.5), (-1.3/ 0.2/ -1.8), (-1.4/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,112.1752
Sad,(-1.4/ 1.5/ -2.0), (-1.7/ 1.1/ -1.7), (-1.3/ 0.2/ -1.9), (-1.2/ 0.2/ -1.8), (-1.4/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,119.7856
Sad,(-1.3/ 1.5/ -2.0), (-1.6/ 1.1/ -1.5), (-1.3/ 0.2/ -1.8), (-1.2/ 0.2/ -1.8), (-1.3/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,115.2136
Sad,(-1.3/ 1.4/ -1.9), (-1.5/ 1.1/ -1.5), (-1.3/ 0.1/ -1.8), (-1.2/ 0.2/ -1.8), (-1.2/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,109.6759
Sad,(-1.5/ 1.4/ -2.0), (-1.7/ 1.1/ -1.5), (-1.6/ 0.2/ -1.9), (-1.3/ 0.2/ -1.8), (-1.5/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,121.5844
Sad,(-1.4/ 1.5/ -2.0), (-1.7/ 1.1/ -1.5), (-1.3/ 0.2/ -1.9), (-1.3/ 0.2/ -1.8), (-1.4/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,117.9669
Sad,(-1.3/ 1.5/ -2.0), (-1.6/ 1.1/ -1.5), (-1.3/ 0.2/ -1.8), (-1.2/ 0.2/ -1.8), (-1.3/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,113.5422
Sad,(-1.4/ 1.5/ -2.0), (-1.6/ 1.1/ -1.5), (-1.3/ 0.2/ -1.7), (-1.3/ 0.2/ -1.8), (-1.3/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,114.0704
Sad,(-1.4/ 1.5/ -1.9), (-1.6/ 1.1/ -1.5), (-1.3/ 0.2/ -1.7), (-1.3/ 0.2/ -1.8), (-1.3/ 1.6/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,113.4947
Sad,(-1.4/ 1.5/ -2.0), (-1.6/ 1.1/ -1.5), (-1.4/ 0.2/ -1.8), (-1.3/ 0.2/ -1.8), (-1.3/ 1.6/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,115.2249
Sad,(-1.4/ 1.5/ -2.0), (-1.6/ 1.1/ -1.5), (-1.4/ 0.2/ -1.8), (-1.3/ 0.2/ -1.8), (-1.3/ 1.6/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,116.7887
Sad,(-1.4/ 1.5/ -2.0), (-1.7/ 1.1/ -1.6), (-1.4/ 0.2/ -1.8), (-1.3/ 0.2/ -1.8), (-1.3/ 1.6/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,117.8827
Sad,(-1.4/ 1.5/ -1.9), (-1.5/ 1.1/ -1.5), (-1.3/ 0.2/ -1.7), (-1.3/ 0.2/ -1.8), (-1.3/ 1.6/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,113.3015
Sad,(-1.4/ 1.4/ -1.8), (-1.4/ 1.1/ -1.4), (-1.2/ 0.2/ -1.7), (-1.3/ 0.2/ -1.8), (-1.3/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.7003
Sad,(-1.4/ 1.3/ -1.8), (-1.2/ 1.1/ -1.4), (-1.2/ 0.2/ -1.7), (-1.3/ 0.2/ -1.8), (-1.2/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,101.2939
Sad,(-1.3/ 1.2/ -1.7), (-1.2/ 1.1/ -1.4), (-1.2/ 0.2/ -1.7), (-1.3/ 0.2/ -1.8), (-1.2/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,100.1681
Sad,(-1.3/ 1.2/ -1.7), (-1.2/ 1.1/ -1.3), (-1.2/ 0.2/ -1.7), (-1.3/ 0.2/ -1.8), (-1.3/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,100.1612
Sad,(-1.4/ 1.2/ -1.7), (-1.2/ 1.1/ -1.3), (-1.2/ 0.2/ -1.7), (-1.3/ 0.2/ -1.8), (-1.3/ 1.6/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,99.77438
Sad,(-1.4/ 1.2/ -1.7), (-1.2/ 1.1/ -1.3), (-1.2/ 0.2/ -1.7), (-1.3/ 0.2/ -1.8), (-1.3/ 1.6/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,101.0571
Sad,(-1.4/ 1.2/ -1.8), (-1.3/ 1.1/ -1.3), (-1.2/ 0.2/ -1.7), (-1.3/ 0.2/ -1.8), (-1.3/ 1.6/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,105.2261
Sad,(-1.5/ 1.2/ -1.9), (-1.5/ 1.1/ -1.4), (-1.3/ 0.2/ -1.8), (-1.3/ 0.2/ -1.8), (-1.3/ 1.6/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,112.8203
Sad,(-1.5/ 1.2/ -1.9), (-1.4/ 1.1/ -1.4), (-1.3/ 0.2/ -1.8), (-1.3/ 0.2/ -1.8), (-1.3/ 1.6/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,110.67
Sad,(-1.5/ 1.2/ -1.8), (-1.2/ 1.1/ -1.4), (-1.3/ 0.2/ -1.7), (-1.3/ 0.2/ -1.8), (-1.3/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,105.1947
Sad,(-1.5/ 1.2/ -1.8), (-1.1/ 1.1/ -1.4), (-1.2/ 0.1/ -1.7), (-1.3/ 0.2/ -1.8), (-1.3/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.7031
