Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.46576
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.62643
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.59266
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.79963
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.01294
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.06177
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.16216
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.26973
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.40237
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.73922
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.96233
Disgusted,(0.9/ 1.2/ 0.5), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,84.08349
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,84.23129
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,84.39567
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,84.41725
Disgusted,(0.9/ 1.1/ 0.6), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,84.60654
Disgusted,(0.9/ 1.1/ 0.6), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,84.78615
Disgusted,(0.9/ 1.1/ 0.6), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.2), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,84.68057
Disgusted,(0.9/ 1.1/ 0.6), (0.5/ 1.1/ 1.1), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.2), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,85.34893
Disgusted,(0.9/ 1.1/ 0.6), (0.5/ 1.1/ 1.1), (0.9/ 0.1/ 0.9), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,85.67247
Disgusted,(1.0/ 1.1/ 0.6), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.9), (1.0/ 0.1/ 1.2), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,85.74181
Disgusted,(1.0/ 1.1/ 0.6), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.9), (1.0/ 0.1/ 1.2), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,86.04745
Disgusted,(0.9/ 1.1/ 0.6), (0.5/ 1.1/ 1.1), (0.9/ 0.1/ 0.9), (1.0/ 0.1/ 1.2), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,86.23866
Disgusted,(0.9/ 1.1/ 0.6), (0.5/ 1.1/ 1.1), (0.9/ 0.1/ 0.9), (1.0/ 0.1/ 1.2), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,86.54417
Disgusted,(0.9/ 1.1/ 0.6), (0.5/ 1.1/ 1.1), (0.9/ 0.1/ 0.9), (1.0/ 0.1/ 1.2), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,86.7038
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Disgusted,(0.9/ 1.3/ 0.5), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.9), (1.0/ 0.1/ 1.2), (1.0/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,85.09365
Disgusted,(0.9/ 1.0/ 0.6), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.9), (1.0/ 0.1/ 1.2), (1.0/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,86.74134
Disgusted,(0.9/ 1.0/ 0.6), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.9), (1.0/ 0.1/ 1.2), (1.0/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,86.6151
Disgusted,(0.9/ 1.1/ 0.6), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.9), (1.0/ 0.1/ 1.2), (1.0/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,86.49759
Disgusted,(0.9/ 1.1/ 0.6), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.9), (1.0/ 0.1/ 1.2), (1.0/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,86.6592
Disgusted,(0.9/ 1.1/ 0.6), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.9), (1.0/ 0.1/ 1.2), (1.0/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,86.72781
Disgusted,(1.0/ 1.1/ 0.6), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.9), (1.1/ 0.1/ 1.2), (1.0/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,86.79847
Disgusted,(0.9/ 1.1/ 0.6), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.9), (1.1/ 0.1/ 1.2), (1.0/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,87.214
Disgusted,(1.0/ 1.1/ 0.6), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.9), (1.1/ 0.1/ 1.2), (1.0/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,87.42476
Disgusted,(1.0/ 1.1/ 0.6), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.9), (1.1/ 0.1/ 1.2), (1.0/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,87.87445
Disgusted,(1.0/ 1.1/ 0.6), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.9), (1.1/ 0.1/ 1.2), (1.0/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,88.09974
Disgusted,(1.0/ 1.1/ 0.6), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.9), (1.1/ 0.1/ 1.2), (1.0/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,88.32865
Disgusted,(1.0/ 1.1/ 0.6), (0.5/ 1.1/ 1.1), (0.9/ 0.1/ 0.9), (1.1/ 0.1/ 1.2), (1.0/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,88.83219
Disgusted,(1.0/ 1.1/ 0.6), (0.6/ 1.0/ 1.1), (0.9/ 0.1/ 0.9), (1.1/ 0.1/ 1.2), (1.0/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,89.56038
Disgusted,(1.0/ 1.1/ 0.6), (0.5/ 1.0/ 1.1), (0.9/ 0.1/ 0.9), (1.1/ 0.1/ 1.2), (1.0/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,89.85556
Disgusted,(1.0/ 1.1/ 0.6), (0.5/ 1.1/ 1.1), (0.9/ 0.1/ 0.9), (1.1/ 0.1/ 1.2), (1.0/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,89.23752
Disgusted,(1.0/ 1.1/ 0.6), (0.5/ 1.1/ 1.1), (0.9/ 0.1/ 0.9), (1.1/ 0.1/ 1.2), (1.0/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,89.20208
Disgusted,(1.0/ 1.1/ 0.6), (0.5/ 1.1/ 1.0), (0.9/ 0.1/ 0.9), (1.1/ 0.1/ 1.2), (1.0/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,88.89113
Disgusted,(1.0/ 1.1/ 0.6), (0.6/ 1.1/ 1.0), (0.9/ 0.1/ 0.9), (1.1/ 0.1/ 1.2), (1.0/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,89.23657
Disgusted,(1.0/ 1.1/ 0.6), (0.6/ 1.1/ 1.0), (0.9/ 0.1/ 0.9), (1.1/ 0.1/ 1.2), (1.0/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,89.53101
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Disgusted,(1.0/ 1.1/ 0.6), (0.6/ 1.1/ 1.0), (0.9/ 0.1/ 0.9), (1.1/ 0.1/ 1.2), (1.0/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,89.75668
Disgusted,(1.0/ 1.1/ 0.6), (0.6/ 1.1/ 1.0), (0.9/ 0.1/ 0.9), (1.1/ 0.1/ 1.2), (1.0/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,89.91864
Disgusted,(1.0/ 1.1/ 0.6), (0.6/ 1.1/ 1.1), (0.9/ 0.1/ 0.9), (1.1/ 0.1/ 1.2), (1.0/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,90.02142
Disgusted,(1.0/ 1.1/ 0.6), (0.6/ 1.0/ 1.1), (0.9/ 0.1/ 0.9), (1.1/ 0.1/ 1.2), (1.0/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,90.54033
Disgusted,(1.0/ 1.1/ 0.6), (0.6/ 1.0/ 1.1), (0.9/ 0.1/ 0.9), (1.1/ 0.1/ 1.2), (1.0/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,90.79123
