Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Disgusted,(0.8/ 1.2/ 1.2), (0.6/ 1.1/ 1.4), (1.1/ 0.1/ 1.3), (1.0/ 0.1/ 1.4), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,109.5001
Disgusted,(0.9/ 1.1/ 1.2), (0.6/ 1.1/ 1.3), (1.1/ 0.1/ 1.3), (1.0/ 0.1/ 1.4), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,109.1489
Disgusted,(0.9/ 1.1/ 1.2), (0.6/ 1.1/ 1.3), (1.1/ 0.1/ 1.3), (1.0/ 0.1/ 1.4), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,110.037
Disgusted,(1.0/ 1.4/ 1.0), (0.6/ 1.1/ 1.3), (1.1/ 0.1/ 1.3), (1.0/ 0.1/ 1.4), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,108.1503
Disgusted,(0.9/ 1.2/ 1.1), (0.6/ 1.1/ 1.3), (1.1/ 0.1/ 1.3), (1.0/ 0.1/ 1.4), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,108.6548
Disgusted,(0.9/ 1.0/ 1.3), (0.6/ 1.1/ 1.4), (1.1/ 0.1/ 1.3), (1.0/ 0.1/ 1.4), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,112.1737
Disgusted,(0.9/ 1.1/ 1.3), (0.6/ 1.1/ 1.4), (1.1/ 0.1/ 1.3), (1.0/ 0.1/ 1.4), (1.0/ 1.4/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,112.3426
Disgusted,(0.9/ 1.1/ 1.3), (0.6/ 1.1/ 1.4), (1.1/ 0.1/ 1.3), (1.0/ 0.1/ 1.4), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,112.4931
Disgusted,(0.9/ 1.1/ 1.3), (0.6/ 1.1/ 1.4), (1.1/ 0.1/ 1.4), (1.0/ 0.1/ 1.4), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,112.8889
Disgusted,(0.9/ 1.1/ 1.3), (0.6/ 1.1/ 1.4), (1.1/ 0.1/ 1.4), (1.1/ 0.1/ 1.4), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,113.4072
