Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-3.4/ 1.1/ 0.7), (-3.5/ 1.1/ 0.8), (-3.6/ 0.1/ 0.9), (-3.7/ 0.1/ 1.1), (-3.6/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,250.6024
Sad,(-3.4/ 1.1/ 0.7), (-3.5/ 1.1/ 0.8), (-3.6/ 0.1/ 0.9), (-3.7/ 0.1/ 1.1), (-3.6/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,249.9777
Sad,(-3.3/ 1.1/ 0.8), (-3.4/ 1.1/ 0.8), (-3.6/ 0.1/ 0.9), (-3.7/ 0.1/ 1.1), (-3.6/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,249.7651
Sad,(-3.3/ 1.1/ 0.8), (-3.4/ 1.2/ 0.9), (-3.6/ 0.1/ 0.9), (-3.7/ 0.1/ 1.1), (-3.6/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,249.5285
Sad,(-3.3/ 1.1/ 0.8), (-3.4/ 1.2/ 0.9), (-3.6/ 0.1/ 0.9), (-3.7/ 0.1/ 1.1), (-3.6/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,249.7711
Sad,(-3.4/ 1.1/ 0.8), (-3.5/ 1.1/ 0.8), (-3.6/ 0.1/ 0.9), (-3.7/ 0.1/ 1.1), (-3.6/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,250.4711
Sad,(-3.4/ 1.0/ 0.8), (-3.6/ 1.1/ 0.8), (-3.6/ 0.1/ 0.9), (-3.7/ 0.1/ 1.1), (-3.6/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,254.7151
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-3.5/ 1.0/ 0.8), (-3.7/ 1.1/ 1.0), (-3.7/ 0.1/ 1.0), (-3.7/ 0.1/ 1.2), (-3.7/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,258.9636
Sad,(-3.5/ 1.0/ 0.8), (-3.6/ 1.1/ 1.0), (-3.7/ 0.1/ 1.0), (-3.7/ 0.1/ 1.2), (-3.7/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,258.857
