Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-0.1/ 1.3/ -1.7), (-0.6/ 1.1/ -1.3), (-0.3/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.3/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,71.49253
Sad,(-0.2/ 1.2/ -1.7), (-0.6/ 1.1/ -1.3), (-0.3/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.3/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,71.94625
Sad,(-0.4/ 1.3/ -1.7), (-0.6/ 1.1/ -1.3), (-0.3/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.3/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,71.67516
Sad,(-0.3/ 1.2/ -1.8), (-0.6/ 1.1/ -1.3), (-0.3/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.3/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,72.18002
Sad,(-0.4/ 1.2/ -1.8), (-0.7/ 1.1/ -1.3), (-0.3/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.3/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,72.71977
Sad,(-0.4/ 1.2/ -1.8), (-0.6/ 1.0/ -1.2), (-0.3/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.4/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,72.40984
Sad,(-0.1/ 1.2/ -1.8), (-0.6/ 1.0/ -1.2), (-0.3/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.4/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,71.55197
Sad,(-0.2/ 1.3/ -1.7), (-0.6/ 1.0/ -1.3), (-0.3/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.4/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,71.22466
Sad,(-0.2/ 1.3/ -1.7), (-0.7/ 1.0/ -1.3), (-0.3/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.4/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,70.99126
Sad,(-0.2/ 1.3/ -1.7), (-0.7/ 1.0/ -1.2), (-0.3/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.4/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,70.88496
Sad,(-0.2/ 1.3/ -1.7), (-0.7/ 1.0/ -1.2), (-0.3/ 0.1/ -1.5), (-0.2/ 0.1/ -1.4), (-0.4/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,70.94569
Sad,(-0.2/ 1.3/ -1.7), (-0.7/ 1.0/ -1.2), (-0.3/ 0.1/ -1.5), (-0.2/ 0.1/ -1.4), (-0.4/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,70.78329
Sad,(-0.2/ 1.2/ -1.8), (-0.7/ 1.0/ -1.2), (-0.3/ 0.1/ -1.5), (-0.2/ 0.1/ -1.4), (-0.4/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,71.11995
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-0.3/ 1.2/ -1.8), (-0.6/ 1.0/ -1.1), (-0.3/ 0.1/ -1.4), (-0.2/ 0.1/ -1.4), (-0.4/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,69.85623
Sad,(-0.3/ 1.2/ -1.9), (-0.5/ 1.1/ -1.2), (-0.3/ 0.1/ -1.4), (-0.2/ 0.1/ -1.4), (-0.3/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,71.80053
Sad,(-0.4/ 1.2/ -2.0), (-0.5/ 1.1/ -1.3), (-0.3/ 0.1/ -1.4), (-0.4/ 0.1/ -1.5), (-0.3/ 1.5/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.39572
Sad,(-0.5/ 1.2/ -2.0), (-0.7/ 1.1/ -1.3), (-0.3/ 0.1/ -1.4), (-0.4/ 0.1/ -1.5), (-0.4/ 1.5/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.77464
Sad,(-0.5/ 1.2/ -1.9), (-0.8/ 1.1/ -1.2), (-0.4/ 0.1/ -1.4), (-0.4/ 0.1/ -1.5), (-0.5/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,76.17347
Sad,(-0.5/ 1.2/ -1.9), (-0.8/ 1.0/ -1.2), (-0.4/ 0.1/ -1.3), (-0.4/ 0.1/ -1.5), (-0.6/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,74.66682
Sad,(-0.5/ 1.2/ -1.9), (-0.8/ 1.0/ -1.3), (-0.4/ 0.1/ -1.4), (-0.4/ 0.1/ -1.5), (-0.5/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,76.45805
Sad,(-0.4/ 1.2/ -1.9), (-0.7/ 1.1/ -1.3), (-0.4/ 0.1/ -1.4), (-0.4/ 0.1/ -1.5), (-0.4/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,76.5955
Sad,(-0.4/ 1.2/ -1.9), (-0.7/ 1.1/ -1.3), (-0.4/ 0.1/ -1.4), (-0.4/ 0.1/ -1.5), (-0.4/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,75.55402
Sad,(-0.5/ 1.2/ -1.9), (-0.8/ 1.1/ -1.2), (-0.4/ 0.2/ -1.4), (-0.4/ 0.1/ -1.5), (-0.5/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,75.87227
Sad,(-0.7/ 1.2/ -1.9), (-0.9/ 1.1/ -1.3), (-0.8/ 0.1/ -1.5), (-0.4/ 0.1/ -1.5), (-0.6/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,79.63416
Sad,(-1.0/ 1.1/ -2.0), (-0.9/ 1.1/ -1.3), (-0.8/ 0.1/ -1.5), (-0.8/ 0.1/ -1.6), (-0.8/ 1.5/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,85.88373
Sad,(-1.2/ 1.1/ -1.9), (-1.0/ 1.1/ -1.2), (-0.8/ 0.1/ -1.5), (-0.9/ 0.1/ -1.7), (-0.9/ 1.5/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,87.49421
Sad,(-1.3/ 1.2/ -1.8), (-1.1/ 1.1/ -1.2), (-0.8/ 0.1/ -1.5), (-0.9/ 0.1/ -1.7), (-1.0/ 1.5/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,87.03596
Sad,(-1.3/ 1.1/ -1.9), (-1.1/ 1.1/ -1.2), (-1.0/ 0.1/ -1.5), (-0.9/ 0.1/ -1.7), (-1.0/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,88.22289
Sad,(-1.4/ 1.1/ -1.9), (-1.2/ 1.1/ -1.2), (-1.2/ 0.1/ -1.4), (-0.9/ 0.1/ -1.7), (-1.1/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,92.73073
