Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-3.0/ 1.2/ 0.1), (-3.3/ 1.1/ 0.6), (-2.9/ 0.1/ 0.3), (-2.9/ 0.1/ 0.3), (-3.0/ 1.5/ 0.4), (-0.9/ 0.4/ 0.1), 0.3333333, 0.3333333,199.68
Sad,(-3.0/ 1.2/ 0.0), (-3.3/ 1.1/ 0.6), (-2.9/ 0.1/ 0.2), (-2.9/ 0.1/ 0.3), (-3.0/ 1.5/ 0.4), (-0.9/ 0.4/ 0.1), 0.3333333, 0.3333333,199.7769
Sad,(-3.0/ 1.1/ 0.1), (-3.3/ 1.1/ 0.6), (-3.0/ 0.1/ 0.2), (-2.9/ 0.1/ 0.3), (-3.0/ 1.5/ 0.3), (-0.9/ 0.4/ 0.1), 0.3333333, 0.3333333,201.5504
Sad,(-3.1/ 1.1/ 0.0), (-3.3/ 1.1/ 0.6), (-3.0/ 0.1/ 0.2), (-2.9/ 0.1/ 0.3), (-3.0/ 1.5/ 0.3), (-0.9/ 0.4/ 0.1), 0.3333333, 0.3333333,201.6039
Sad,(-3.0/ 1.1/ -0.2), (-3.3/ 1.1/ 0.4), (-3.0/ 0.1/ 0.2), (-2.9/ 0.1/ 0.3), (-2.9/ 1.5/ 0.1), (-0.9/ 0.4/ 0.0), 0.3333333, 0.3333333,197.87
Sad,(-3.0/ 1.2/ -0.3), (-3.3/ 1.1/ 0.3), (-3.0/ 0.1/ 0.2), (-2.9/ 0.1/ 0.3), (-2.9/ 1.5/ 0.1), (-0.9/ 0.4/ 0.0), 0.3333333, 0.3333333,196.2875
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-3.3/ 1.1/ -0.3), (-3.6/ 1.1/ 0.3), (-3.3/ 0.1/ 0.0), (-3.2/ 0.1/ 0.1), (-3.3/ 1.5/ 0.1), (-0.9/ 0.4/ 0.0), 0.3333333, 0.3333333,215.9962
Sad,(-3.3/ 1.1/ -0.3), (-3.6/ 1.1/ 0.3), (-3.3/ 0.1/ 0.0), (-3.2/ 0.1/ 0.1), (-3.3/ 1.5/ 0.1), (-0.9/ 0.4/ 0.0), 0.3333333, 0.3333333,216.8598
Sad,(-3.4/ 1.1/ -0.3), (-3.7/ 1.1/ 0.3), (-3.7/ 0.1/ -0.2), (-3.2/ 0.1/ 0.1), (-3.4/ 1.5/ 0.0), (-0.9/ 0.4/ 0.0), 0.3333333, 0.3333333,224.2927
