Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Surprised,(-0.5/ 1.2/ 0.0), (-1.0/ 1.1/ -0.1), (-0.4/ 0.1/ -0.2), (-0.7/ 0.1/ -0.1), (-0.5/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,44.63191
Surprised,(-0.5/ 1.2/ 0.0), (-1.0/ 1.1/ -0.1), (-0.4/ 0.1/ -0.2), (-0.7/ 0.1/ -0.1), (-0.5/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,44.35257
Sad,(-0.4/ 1.3/ -0.1), (-1.0/ 1.1/ -0.1), (-0.5/ 0.1/ -0.2), (-0.7/ 0.1/ -0.1), (-0.6/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,42.79883
Sad,(-0.4/ 1.3/ -0.2), (-0.9/ 1.1/ 0.0), (-0.5/ 0.1/ -0.4), (-0.6/ 0.1/ -0.1), (-0.6/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.34253
Sad,(-0.5/ 1.3/ -0.4), (-0.9/ 1.1/ 0.0), (-0.5/ 0.1/ -0.4), (-0.6/ 0.1/ -0.2), (-0.6/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.40775
Sad,(-0.5/ 1.3/ -0.4), (-0.9/ 1.1/ 0.0), (-0.5/ 0.1/ -0.4), (-0.6/ 0.1/ -0.2), (-0.6/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.52714
Sad,(-0.6/ 1.1/ -0.2), (-0.9/ 1.1/ 0.0), (-0.5/ 0.1/ -0.4), (-0.6/ 0.1/ -0.2), (-0.6/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.77317
Sad,(-0.5/ 1.0/ -0.1), (-1.0/ 1.1/ -0.2), (-0.5/ 0.1/ -0.4), (-0.6/ 0.1/ -0.2), (-0.6/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.23042
Sad,(-0.4/ 1.0/ -0.1), (-1.0/ 1.1/ -0.2), (-0.5/ 0.1/ -0.4), (-0.6/ 0.1/ -0.2), (-0.6/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.05243
Sad,(-0.4/ 1.0/ -0.1), (-1.0/ 1.1/ -0.3), (-0.5/ 0.1/ -0.4), (-0.6/ 0.1/ -0.2), (-0.6/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.47475
Sad,(-0.3/ 1.0/ -0.1), (-1.0/ 1.1/ -0.2), (-0.5/ 0.1/ -0.4), (-0.6/ 0.1/ -0.2), (-0.6/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.55024
Sad,(-0.5/ 1.0/ -0.2), (-0.9/ 1.1/ -0.1), (-0.5/ 0.1/ -0.4), (-0.6/ 0.1/ -0.2), (-0.6/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.199
Sad,(-0.2/ 1.0/ -0.3), (-0.9/ 1.1/ -0.1), (-0.5/ 0.1/ -0.4), (-0.6/ 0.1/ -0.2), (-0.5/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.18866
Sad,(-0.2/ 0.9/ -0.3), (-0.9/ 1.0/ -0.1), (-0.5/ 0.1/ -0.4), (-0.6/ 0.1/ -0.2), (-0.6/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.70883
Sad,(-0.2/ 0.9/ -0.2), (-0.9/ 1.0/ -0.1), (-0.5/ 0.1/ -0.4), (-0.6/ 0.1/ -0.2), (-0.6/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.81937
Sad,(-0.5/ 1.0/ -0.2), (-0.9/ 1.1/ 0.0), (-0.5/ 0.1/ -0.4), (-0.6/ 0.1/ -0.2), (-0.6/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.18974
Sad,(-0.4/ 1.0/ -0.1), (-0.9/ 1.0/ -0.1), (-0.5/ 0.1/ -0.4), (-0.6/ 0.1/ -0.2), (-0.6/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.60509
