Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-1.4/ 1.2/ -1.5), (-1.4/ 1.2/ -1.3), (-1.1/ 0.1/ -1.2), (-1.3/ 0.1/ -1.1), (-1.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.47299
Sad,(-1.4/ 1.1/ -1.5), (-1.3/ 1.2/ -1.2), (-1.1/ 0.1/ -1.2), (-1.3/ 0.1/ -1.1), (-1.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.52225
Sad,(-1.4/ 1.1/ -1.5), (-1.3/ 1.2/ -1.2), (-1.1/ 0.1/ -1.2), (-1.3/ 0.1/ -1.1), (-1.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.39304
Sad,(-1.4/ 1.1/ -1.5), (-1.3/ 1.2/ -1.2), (-1.1/ 0.1/ -1.2), (-1.3/ 0.1/ -1.1), (-1.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.9267
Sad,(-1.4/ 1.1/ -1.5), (-1.3/ 1.2/ -1.2), (-1.1/ 0.1/ -1.2), (-1.3/ 0.1/ -1.1), (-1.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.96338
Sad,(-1.4/ 1.1/ -1.5), (-1.3/ 1.2/ -1.2), (-1.1/ 0.1/ -1.2), (-1.3/ 0.1/ -1.1), (-1.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.88707
Sad,(-1.4/ 1.1/ -1.5), (-1.3/ 1.1/ -1.2), (-1.1/ 0.1/ -1.2), (-1.3/ 0.1/ -1.1), (-1.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.90822
Sad,(-1.4/ 1.1/ -1.5), (-1.3/ 1.1/ -1.2), (-1.1/ 0.1/ -1.2), (-1.3/ 0.1/ -1.1), (-1.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.55376
Sad,(-1.4/ 1.1/ -1.3), (-1.4/ 1.2/ -1.1), (-1.1/ 0.1/ -1.2), (-1.2/ 0.1/ -1.0), (-1.3/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.35387
Sad,(-1.4/ 1.1/ -1.4), (-1.3/ 1.1/ -1.1), (-1.1/ 0.1/ -1.2), (-1.2/ 0.1/ -1.0), (-1.3/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.01364
Sad,(-1.4/ 1.2/ -1.4), (-1.3/ 1.1/ -1.2), (-1.1/ 0.1/ -1.2), (-1.2/ 0.1/ -1.0), (-1.2/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.28064
Sad,(-1.4/ 1.3/ -1.6), (-1.3/ 1.1/ -1.2), (-1.1/ 0.1/ -1.2), (-1.2/ 0.1/ -1.0), (-1.2/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.98574
Sad,(-1.4/ 1.1/ -1.4), (-1.3/ 1.1/ -1.1), (-1.1/ 0.1/ -1.2), (-1.2/ 0.1/ -1.0), (-1.3/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.24673
Sad,(-1.4/ 1.1/ -1.4), (-1.4/ 1.1/ -1.1), (-1.1/ 0.1/ -1.2), (-1.2/ 0.1/ -1.0), (-1.3/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.2299
Sad,(-1.5/ 1.2/ -1.3), (-1.4/ 1.1/ -1.0), (-1.1/ 0.1/ -1.2), (-1.2/ 0.1/ -1.0), (-1.3/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,76.79778
Sad,(-1.5/ 1.2/ -1.3), (-1.4/ 1.1/ -0.9), (-1.1/ 0.1/ -1.2), (-1.2/ 0.1/ -1.0), (-1.3/ 1.4/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.13184
Sad,(-1.5/ 1.1/ -1.3), (-1.4/ 1.1/ -1.0), (-1.1/ 0.1/ -1.2), (-1.2/ 0.1/ -1.0), (-1.3/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,76.32461
Sad,(-1.4/ 1.1/ -1.4), (-1.4/ 1.1/ -1.0), (-1.1/ 0.1/ -1.2), (-1.2/ 0.1/ -1.0), (-1.3/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.39407
Sad,(-1.4/ 1.1/ -1.3), (-1.3/ 1.1/ -1.2), (-1.1/ 0.1/ -1.2), (-1.2/ 0.1/ -1.0), (-1.3/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,76.4296
Sad,(-1.3/ 1.1/ -1.4), (-1.3/ 1.1/ -1.2), (-1.1/ 0.1/ -1.2), (-1.2/ 0.1/ -1.0), (-1.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.96598
Sad,(-1.3/ 1.1/ -1.4), (-1.3/ 1.1/ -1.2), (-1.1/ 0.1/ -1.2), (-1.2/ 0.1/ -1.0), (-1.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.48365
Sad,(-1.3/ 1.1/ -1.4), (-1.3/ 1.1/ -1.2), (-1.1/ 0.1/ -1.2), (-1.2/ 0.1/ -1.0), (-1.2/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.99265
