Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Neutral,(-0.1/ 1.1/ 0.6), (0.2/ 1.0/ 0.1), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.5), (-0.1/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.07854
Neutral,(0.0/ 1.1/ 0.6), (0.2/ 1.0/ 0.2), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.5), (-0.1/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.56194
Neutral,(0.0/ 1.1/ 0.6), (0.3/ 1.0/ 0.2), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.4), (-0.1/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.50645
Neutral,(-0.1/ 1.1/ 0.7), (0.2/ 1.1/ 0.1), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.4), (-0.1/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.85582
Neutral,(-0.1/ 1.1/ 0.7), (0.1/ 1.1/ 0.1), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.4), (-0.1/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.53496
Neutral,(-0.1/ 1.1/ 0.7), (0.2/ 1.0/ 0.1), (-0.3/ 0.1/ 0.5), (-0.1/ 0.1/ 0.4), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.42246
Neutral,(-0.1/ 1.1/ 0.7), (0.2/ 1.0/ 0.1), (-0.3/ 0.1/ 0.5), (-0.1/ 0.1/ 0.4), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.71218
Neutral,(-0.1/ 1.1/ 0.6), (0.2/ 1.0/ 0.2), (-0.3/ 0.1/ 0.5), (-0.1/ 0.1/ 0.4), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.39723
Neutral,(-0.1/ 1.1/ 0.6), (0.2/ 1.0/ 0.2), (-0.3/ 0.1/ 0.5), (-0.1/ 0.1/ 0.4), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.19611
Neutral,(-0.1/ 1.1/ 0.6), (0.2/ 1.0/ 0.2), (-0.3/ 0.1/ 0.5), (-0.1/ 0.1/ 0.4), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,27.98698
Neutral,(-0.1/ 1.1/ 0.7), (0.2/ 1.1/ 0.2), (-0.3/ 0.1/ 0.5), (-0.1/ 0.1/ 0.4), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.10916

CAMINO 2
