Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(0.7/ 1.2/ -1.0), (0.9/ 0.9/ -0.9), (0.8/ 0.1/ -0.8), (0.8/ 0.1/ -0.8), (0.8/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.04169
Sad,(0.7/ 1.2/ -0.9), (0.8/ 0.9/ -0.9), (0.8/ 0.1/ -0.9), (0.8/ 0.1/ -0.8), (0.8/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.4607
Sad,(0.7/ 1.2/ -1.1), (0.9/ 0.9/ -1.0), (0.9/ 0.1/ -0.9), (0.8/ 0.1/ -0.8), (0.8/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,43.53825
Sad,(0.7/ 1.2/ -1.2), (0.8/ 0.9/ -1.1), (0.9/ 0.1/ -0.9), (0.6/ 0.1/ -1.2), (0.8/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,53.22981
Sad,(0.6/ 1.2/ -1.3), (0.7/ 0.9/ -1.2), (0.8/ 0.1/ -1.1), (0.6/ 0.1/ -1.2), (0.6/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,54.386
Sad,(0.5/ 1.2/ -1.3), (0.7/ 0.9/ -1.2), (0.7/ 0.1/ -1.3), (0.6/ 0.1/ -1.2), (0.6/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,57.75241
Sad,(0.6/ 1.2/ -1.4), (0.7/ 0.9/ -1.2), (0.7/ 0.1/ -1.3), (0.6/ 0.1/ -1.2), (0.6/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,59.15673
Sad,(0.6/ 1.2/ -1.4), (0.8/ 0.9/ -1.2), (0.7/ 0.1/ -1.3), (0.6/ 0.1/ -1.2), (0.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,59.40901
Sad,(0.6/ 1.2/ -1.4), (0.8/ 0.9/ -1.3), (0.7/ 0.1/ -1.3), (0.6/ 0.1/ -1.2), (0.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,59.4454
Sad,(0.5/ 1.2/ -1.4), (0.8/ 0.9/ -1.2), (0.7/ 0.1/ -1.3), (0.6/ 0.1/ -1.2), (0.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,59.59391
Sad,(0.5/ 1.1/ -1.4), (0.8/ 0.9/ -1.2), (0.7/ 0.1/ -1.3), (0.6/ 0.1/ -1.2), (0.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,57.98454
Sad,(0.6/ 1.1/ -1.3), (0.8/ 0.9/ -1.2), (0.7/ 0.1/ -1.3), (0.6/ 0.1/ -1.2), (0.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,57.35877
Sad,(0.6/ 1.1/ -1.3), (0.8/ 0.9/ -1.2), (0.8/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,56.68576
Sad,(0.6/ 1.1/ -1.3), (0.8/ 0.9/ -1.2), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.66191
Sad,(0.7/ 1.1/ -1.3), (0.8/ 0.9/ -1.3), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.93638
Sad,(0.7/ 1.1/ -1.3), (0.8/ 0.9/ -1.3), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.4/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,59.49551
Sad,(0.7/ 1.1/ -1.3), (0.8/ 0.9/ -1.3), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.4/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,59.08115
Sad,(0.7/ 1.1/ -1.3), (0.8/ 0.9/ -1.3), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.4/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.66759
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(0.7/ 1.1/ -1.3), (0.8/ 0.9/ -1.3), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.4/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.6363
Sad,(0.7/ 1.2/ -1.3), (0.8/ 0.9/ -1.2), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.4/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.61675
Sad,(0.7/ 1.1/ -1.3), (0.8/ 0.9/ -1.2), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.4/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.22995
Sad,(0.7/ 1.1/ -1.4), (0.8/ 0.9/ -1.2), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.58802
Sad,(0.7/ 1.2/ -1.3), (0.8/ 0.9/ -1.2), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.26556
Sad,(0.7/ 1.1/ -1.3), (0.8/ 0.9/ -1.2), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.41341
Sad,(0.7/ 1.2/ -1.3), (0.8/ 0.9/ -1.2), (0.9/ 0.1/ -1.2), (0.7/ 0.1/ -1.2), (0.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,59.09594
