Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Disgusted,(0.6/ 1.2/ 0.3), (0.2/ 1.1/ 0.5), (0.6/ 0.1/ 0.5), (0.7/ 0.1/ 1.0), (0.6/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,54.92643
Disgusted,(0.6/ 1.2/ 0.3), (0.2/ 1.1/ 0.5), (0.6/ 0.1/ 0.5), (0.7/ 0.1/ 1.0), (0.6/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,55.20074
Disgusted,(0.7/ 1.3/ 0.3), (0.3/ 1.1/ 0.5), (0.6/ 0.1/ 0.5), (0.7/ 0.1/ 1.0), (0.7/ 1.4/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,56.98299
Disgusted,(0.7/ 1.2/ 0.3), (0.3/ 1.1/ 0.5), (0.6/ 0.1/ 0.5), (0.7/ 0.1/ 1.0), (0.6/ 1.4/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,56.6877
Disgusted,(0.7/ 1.2/ 0.3), (0.3/ 1.1/ 0.5), (0.6/ 0.1/ 0.5), (0.7/ 0.1/ 1.0), (0.6/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,56.84092
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Tiempo en resolver la situación: 36,21 segundos

Entre el comienzo de la clase y el desarrollo de la situación crítica el tono de voz se vio modificado un 0 %
No se ha detectado ninguna palabra
